"";"PT1_L";"PT1_R";"PT2_L";"PT2_R";"PT3_L";"PT3_R";"PT4_L";"PT4_R";"PT5_L";"PT5_R";"PT6A_L";"PT6A_R";"PT6B_L";"PT6B_R";"RD1_L";"RD3_L";"RD3_R";"RD4_R";"RD5_R";"RD6B_R"
"ACTR3BP5";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"ACTR3C";102;304;821;482;131;236;116;90;56;46;169;138;220;113;149;175;172;84;51;52
"ACTR5";1166;1471;1094;821;965;1878;2084;1107;868;479;1485;932;1816;930;1319;1313;1786;1047;589;838
"ACTR6";2618;2506;3813;5823;2039;2724;2107;1906;1412;1130;12518;3021;13776;2104;3814;2459;2080;1452;683;1639
"ACTR8";1173;1775;1847;2649;1441;2008;1685;2675;1061;1232;1456;1558;1685;1955;1356;1751;1535;1592;1147;1748
"ACTRT1";0;0;0;0;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0
"ACTRT2";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"ACTRT3";132;419;454;366;76;107;78;188;135;26;105;136;150;112;37;211;174;135;72;168
"ACVR1";2328;2201;7394;1425;3012;2837;1093;3622;1168;1700;1897;3720;2826;4278;4363;4612;3694;3267;1680;4941
"ACVR1B";1493;1526;2765;2046;4003;3934;2117;6012;1008;2986;1633;5644;1884;4018;2120;4167;2806;3671;2310;2742
"ACVR1C";76;237;195;31;1201;99;9;292;23;66;16;82;7;219;201;3793;690;1527;354;830
"ACVR2A";902;1718;3301;1828;1566;1741;654;1205;1241;863;1129;2204;1132;2735;1595;2619;2287;1876;990;3509
"ACVR2B";1302;1655;812;788;2033;3482;1528;2720;788;463;2797;2925;2493;2030;1236;1446;1633;985;467;1187
"ACVR2B-AS1";83;189;57;20;251;390;89;131;87;35;74;77;100;190;161;182;340;84;37;95
"ACVRL1";2082;1271;1633;1090;2313;1544;2745;1556;682;764;1519;1839;1678;3614;948;4937;2831;5269;2941;5847
"ACY1";22;36;71;24;21;40;27;26;8;17;15;9;10;9;16;24;19;8;21;7
"ACY3";134;164;203;74;76;4;66;2;37;56;3;9;14;33;68;103;15;34;42;29
"ACYP1";670;456;410;409;543;940;1433;737;496;422;428;569;417;618;494;745;849;534;311;429
"ACYP2";391;702;351;581;459;398;554;662;434;856;395;376;545;665;519;765;401;693;665;496
"ADA";1209;1123;3738;2529;310;356;914;744;1187;383;566;616;567;1004;575;807;769;1207;941;986
"ADAD1";0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;2;0;0;0
"ADAD2";16;35;7;8;9;7;34;3;6;0;9;27;13;39;4;16;21;14;6;85
"ADAL";244;569;1084;605;548;1761;1116;624;229;685;1232;1666;1637;955;203;873;941;667;503;823
"ADAM10";2096;4839;9082;4008;4031;5332;1416;5601;1014;5388;5431;5747;4298;8202;4205;4225;4013;2829;4047;4893
"ADAM11";91;140;59;106;153;237;154;97;93;73;87;231;140;242;143;284;370;171;86;238
"ADAM12";3020;2857;1407;1251;958;8810;1364;7242;497;1020;2036;14202;1636;11937;3608;1894;6684;5992;5335;6256
"ADAM15";33256;35194;24362;40461;8401;6606;12554;15545;13748;13668;10510;9690;12295;9469;28044;12619;6341;16565;12036;16358
"ADAM17";1619;5343;11346;4636;2175;2633;977;3326;1576;1516;3558;3563;3592;3809;3662;3256;2854;2385;1712;3201
"ADAM18";148;0;0;0;0;0;0;0;0;0;1;11;2;0;210;0;0;0;0;0
"ADAM19";4045;3652;2853;6287;877;2251;2148;3843;2027;1033;1095;3051;1144;3696;1514;2835;2175;1829;2015;2053
"ADAM1A";1857;1235;692;1075;839;1176;564;320;236;481;668;1387;1129;877;1239;795;730;405;410;479
"ADAM2";0;0;0;0;0;0;1;0;0;0;0;265;2;1;0;0;0;0;0;9
"ADAM20";7;4;4;18;21;23;8;12;5;7;9;15;12;19;8;27;29;15;10;13
"ADAM20P1";70;50;39;78;97;180;124;93;63;83;81;94;105;82;63;112;174;70;91;113
"ADAM21";7;7;114;0;17;13;38;47;4;7;4;10;5;8;35;13;9;21;12;3
"ADAM21P1";0;1;17;0;2;0;0;3;0;2;1;0;0;0;5;0;0;7;1;1
"ADAM22";87;1248;2733;363;526;486;460;220;20;390;247;1285;254;1203;214;777;707;848;588;1812
"ADAM23";58;77;60;883;86;74;65;105;4;27;92;286;86;311;117;357;139;237;260;619
"ADAM28";716;521;1355;811;854;333;246;392;546;879;292;618;355;917;571;1516;801;669;1022;792
"ADAM29";5;1;2;0;0;7;0;4;1;0;1;26;9;4;0;2;5;1;0;3
"ADAM30";0;0;2;0;0;0;0;0;0;2;0;0;1;0;0;0;0;0;2;0
"ADAM32";71;749;134;512;142;24;112;274;45;44;233;429;312;457;84;83;67;195;76;289
"ADAM33";116;940;202;96;6454;1486;177;917;185;175;313;2012;633;6179;1198;10252;6744;5224;1904;12446
"ADAM3A";0;0;0;62;0;0;0;0;0;0;0;3;0;2;0;0;0;0;0;5
"ADAM5";1;0;0;0;0;0;1;2;0;0;2;0;1;4;1;0;0;0;0;2
"ADAM6";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"ADAM7";0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
"ADAM8";3608;1016;3542;4643;1004;1255;2877;1950;1177;831;1136;1776;839;1048;1979;3603;2304;1652;1642;1039
"ADAM9";4880;5831;13707;22665;3640;4839;4030;15794;2531;1861;10913;8446;7617;6710;7057;6495;5031;7729;4352;7019
"ADAMDEC1";1756;802;3046;2199;150;175;1063;434;1212;568;1052;423;753;814;442;800;580;554;730;347
"ADAMTS1";1488;2408;3982;8474;4001;1643;1400;1349;2867;1244;1414;1708;1390;3418;2819;31297;13594;12679;11843;41579
"ADAMTS10";1966;3546;851;1498;1535;1484;1004;2041;213;1503;1014;2055;1612;3145;1842;1731;2801;2633;3523;3582
"ADAMTS12";495;468;320;246;387;2661;261;2621;37;159;1030;1746;1194;1373;589;591;593;615;443;1331
"ADAMTS13";669;353;114;143;1350;2470;1555;712;237;351;650;742;1009;758;693;1063;1824;677;646;623
"ADAMTS14";1768;867;1015;405;34;1367;1852;2693;237;186;640;4408;931;2053;752;398;2610;1405;411;1262
"ADAMTS15";452;548;162;76;2328;2817;6412;6694;27;225;4917;707;8595;3080;923;4025;1598;2736;2345;4010
"ADAMTS16";387;426;14;77;21;1319;64;515;6;56;12;4674;73;1012;648;240;1658;1123;34;753
"ADAMTS17";161;233;187;42;243;208;284;1378;161;93;373;379;333;337;283;318;300;1049;116;310
"ADAMTS18";42;47;36;21;56;167;312;185;3;20;5;326;18;569;133;836;645;732;400;712
"ADAMTS19";5;46;0;1;13;40;26;197;16;3;671;79;570;59;4;37;61;15;10;154
"ADAMTS19-AS1";0;0;0;0;0;0;0;4;0;0;8;1;7;0;0;0;1;0;0;7
"ADAMTS2";11185;3980;2221;2753;2814;10825;8167;14594;1342;989;2500;15875;3267;14625;5675;6615;11054;10793;4301;17347
"ADAMTS20";0;2;12;2;0;2;1;0;1;0;42;532;37;10;0;1;10;5;0;22
"ADAMTS3";97;644;310;157;293;63;34;93;31;50;85;136;51;325;100;621;257;490;162;457
"ADAMTS4";3082;1803;3514;2046;153;1300;2750;2009;1392;1102;1415;3393;1426;1651;2353;7704;4867;2642;1152;7971
"ADAMTS5";595;703;1018;1286;1728;839;268;978;309;285;427;2031;390;3126;889;4595;4751;2780;675;4719
"ADAMTS6";509;270;184;136;162;740;703;863;70;156;186;1839;251;837;474;141;801;498;447;868
"ADAMTS7";1495;2090;1728;956;405;1581;1418;1621;383;201;585;1112;806;1326;801;772;1769;1395;843;1484
"ADAMTS7P1";11;25;15;11;25;3;6;9;8;4;6;15;6;20;7;35;26;10;13;41
"ADAMTS8";38;36;231;1;309;123;14;18;11;5;106;39;59;315;23;903;74;99;56;297
"ADAMTS9";1124;1770;590;590;732;666;579;628;344;221;1360;1164;1138;3901;1518;5520;1874;3764;1481;7027
"ADAMTS9-AS1";3;1;0;0;8;1;0;2;0;0;1;10;6;14;0;18;12;20;9;28
"ADAMTS9-AS2";11;40;4;24;356;47;4;13;11;16;19;55;27;250;17;487;130;78;57;353
"ADAMTSL1";488;455;281;145;642;342;478;641;226;161;445;420;421;1993;930;1759;807;2374;876;4714
"ADAMTSL2";924;466;392;256;509;1162;450;830;176;241;364;1147;764;332;615;575;1284;1183;1134;540
"ADAMTSL3";158;354;380;455;558;373;176;679;21;79;813;786;622;350;290;776;572;790;318;612
"ADAMTSL4";1029;302;1054;569;1359;375;1214;822;1864;230;291;268;261;1589;1709;5615;1885;3411;1937;5153
"ADAMTSL4-AS1";1;2;2;1;4;0;1;0;1;6;3;2;0;1;0;1;5;2;9;0
"ADAMTSL5";207;30;164;42;224;1022;222;236;37;39;599;514;553;173;315;251;500;136;54;118
"ADAP1";1170;1068;1088;413;625;1180;395;1586;250;290;1553;791;1919;513;1078;826;1008;1213;546;608
"ADAP2";2372;733;1893;1958;771;678;1572;1306;1219;828;1115;936;1126;1457;891;1959;1304;2972;2426;2255
"ADAR";112012;35300;64163;139326;29021;31313;40272;51150;17952;17829;33344;58709;33787;36945;98651;28760;22452;23554;17008;25713
"ADARB1";5239;2626;3090;8258;2673;3135;3602;2649;7016;2941;1612;2578;2063;4851;3746;4749;5754;6817;4311;4987
"ADARB2";11;20;42;43;478;294;10;17;2;14;8;99;16;84;13;68;495;18;15;13
"ADARB2-AS1";10;0;0;0;0;0;0;3;0;0;0;1;1;3;24;0;0;0;1;3
"ADAT1";346;1466;3739;1124;833;2358;479;2066;611;1036;3472;1668;3925;1384;633;1144;886;994;1170;1108
"ADAT2";818;1742;3424;1481;974;1088;1812;1357;1829;640;1208;1075;1711;1939;1942;1423;1278;1539;916;1367
"ADAT3";466;134;300;358;229;259;299;311;84;47;121;140;193;163;320;291;176;326;126;166
"ADCK1";401;570;606;396;471;601;559;787;243;731;445;518;635;709;418;683;669;1093;745;593
"ADCK2";3310;4168;1889;4914;1499;2833;3330;1573;1818;1170;2169;2540;2716;2004;3319;2234;2179;2192;1393;1938
"ADCK3";5680;8017;7497;4382;5586;2857;4646;3106;2192;1621;4112;2750;4400;4395;4727;8519;4261;6980;3027;4571
"ADCK4";2181;2298;1347;2777;1731;2534;2532;2669;938;2390;1794;1687;2318;2079;2128;2384;2469;2582;2392;1787
"ADCK5";2306;1161;1451;1641;612;1719;4751;1271;1355;633;3213;809;3900;835;768;856;1376;1329;781;646
"ADCY1";454;593;117;842;2050;18967;579;5477;66;212;1540;1374;1442;1162;509;847;3896;1117;407;1260
"ADCY10";9;25;13;7;53;13;24;117;12;7;57;62;76;39;6;19;27;76;20;52
"ADCY10P1";694;758;176;294;834;316;309;1064;217;95;260;214;264;506;446;893;642;693;240;488
"ADCY2";1437;780;6;142;435;526;1417;717;8;30;30;150;38;305;4268;640;706;406;53;305
"ADCY3";9416;6647;9225;15478;4728;3232;3094;3876;4249;969;4959;5375;4244;5702;9753;9060;4457;6917;4631;8720
"ADCY4";957;1383;463;506;2427;877;1094;947;301;374;1031;2595;1289;4106;620;5905;2521;5418;2741;9901
"ADCY5";148;425;30;337;2718;130;48;431;36;81;2112;480;1290;1401;253;4031;460;2181;1409;1742
"ADCY6";7135;15856;4263;7540;11115;18224;4132;19317;3224;7858;11753;27936;11658;12228;9738;15178;9320;13371;7096;12925
"ADCY7";4117;2517;7552;6460;2250;2509;1851;5821;2288;1987;3480;4236;3351;4450;3642;5764;4556;5539;4335;4355
"ADCY8";30;39;0;10;0;0;18;0;0;0;0;4;4;5;6;8;4;1;0;5
"ADCY9";1371;1370;697;1526;2820;6363;1614;3898;1142;996;4250;5736;2200;2767;1458;3034;4825;2269;1164;3126
"ADCYAP1";9;77;10;13;134;168;10;25;8;2;326;10;62;218;54;363;1121;152;80;1563
"ADCYAP1R1";37;318;32;10;464;114;122;95;37;63;296;252;195;869;22;1198;197;346;220;1499
"ADD1";12731;13397;9683;18275;15310;20572;7717;14424;4148;5034;11408;13795;13666;18020;11892;24190;16830;18743;10210;22196
"ADD2";67;369;1474;132;138;41;14;55;13;89;46;140;64;233;137;336;85;431;139;786
"ADD3";5899;4236;10738;3516;10165;3744;2912;7800;1921;5242;2996;9828;3627;12365;6733;12546;8461;7663;5730;17603
"ADD3-AS1";3;12;7;6;39;7;5;5;11;26;12;34;10;58;8;90;43;38;21;115
"ADGB";1;2;0;1;2;12;6;3;2;2;1;13;0;10;4;2;8;0;1;13
"ADH1A";1;10;0;0;130;2;0;12;0;2;0;3;3;11;2;195;33;139;51;72
"ADH1B";1561;8412;174;793;66721;2274;7;6560;98;666;101;676;32;4770;88;119984;14342;61323;23952;18143
"ADH1C";21;114;52;11;1281;75;1;87;12;47;13;41;2;255;16;1541;218;449;306;1513
"ADH4";1;6;0;1;202;2;0;30;1;3;0;0;3;5;8;184;10;44;14;66
"ADH5";9949;11715;13123;12878;10499;11015;7315;7757;3911;2046;11030;9115;18759;13153;8607;13267;9155;10521;5035;13780
"ADH6";1;4;0;0;0;0;0;0;0;0;1;1;0;0;1;4;1;8;0;1
"ADH7";0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;1;2;1;0;2
"ADHFE1";1226;513;261;527;1148;1056;466;283;189;361;348;602;587;1168;662;2146;1546;957;430;936
"ADI1";14098;16012;11993;8585;3472;1802;3040;3411;2068;2464;4087;3141;4956;4315;11117;5399;3219;4799;3244;4172
"ADIG";0;1;0;0;0;0;0;0;0;0;0;0;0;3;0;2;1;0;0;0
"ADIPOQ";1085;7012;74;448;35458;1228;12;6891;8;310;127;1364;77;4003;40;118284;10135;50496;25091;17074
"ADIPOQ-AS1";0;2;1;0;23;0;0;1;0;0;0;1;0;4;0;74;8;33;26;10
"ADIPOR1";11407;9068;21484;12139;7446;10759;12746;16513;6291;6069;9656;13691;12283;7065;11597;8018;8029;8663;5036;7131
"ADIPOR2";8091;10887;24865;19449;7222;13545;5058;57636;3262;3595;7616;6662;7551;8053;8604;10831;6840;13021;5741;6792
"ADIRF";915;3270;958;248;13721;32159;6835;26904;726;11334;25605;2822;27173;5592;1345;31342;23394;33978;15372;18163
"ADK";3201;2150;10086;2932;1463;2117;5630;2221;1965;1146;2651;1523;2756;1484;3944;1960;1548;1508;1148;1377
"ADM";2446;315;2112;283;778;217;1250;443;565;100;123;99;178;497;2661;2043;561;1337;1479;2234
"ADM2";2203;1041;1386;6210;222;436;445;1245;697;343;3191;129;2505;294;1140;453;227;231;179;133
"ADM5";328;436;120;1004;153;94;185;107;107;139;306;133;342;343;141;747;221;264;251;727
"ADNP";9275;18394;9060;18736;8542;20596;8752;18493;4423;5335;18337;16400;21102;12003;10390;8327;10362;7658;4626;8904
"ADNP-AS1";1;15;28;5;4;16;9;5;4;8;10;8;11;5;13;8;16;5;10;12
"ADNP2";2882;3407;4252;6176;2384;4512;1834;2826;2131;896;4962;3570;4309;2361;4664;2737;2944;1836;1219;2342
"ADO";2790;3119;4947;3539;2063;2825;2962;3238;975;1284;3206;3069;5312;3081;4400;3361;2659;2921;1150;2474
"ADORA1";416;2965;1984;368;556;761;85;620;239;543;315;517;470;1336;907;805;355;584;362;328
"ADORA2A";8;7;12;23;17;14;5;26;9;6;76;24;52;13;5;8;11;9;7;18
"ADORA2A-AS1";4;2;3;10;7;1;0;5;0;0;0;3;4;31;3;2;0;4;0;36
"ADORA2B";1032;157;151;159;87;35;100;50;122;175;30;24;47;174;446;502;155;84;205;112
"ADORA3";505;129;438;583;490;372;612;749;108;102;198;200;247;155;211;595;594;2208;718;134
"ADPGK";6821;7281;10243;10834;3572;5448;7190;4865;3619;5010;6973;9497;8350;5703;5364;5898;6425;5588;5464;5289
"ADPGK-AS1";6;9;42;25;3;5;4;11;5;9;12;7;4;9;12;10;17;21;32;14
"ADPRH";1225;1200;2066;1072;622;533;679;686;337;634;650;1199;636;1436;941;1679;991;1828;1199;1827
"ADPRHL1";158;353;172;495;213;195;1024;698;169;191;719;179;562;318;188;213;145;314;143;200
"ADPRHL2";3328;1796;2845;4512;1579;2175;3863;1633;2235;1141;2136;1931;2621;1666;3782;2130;2020;2194;1221;1268
"ADPRM";548;359;427;324;506;342;363;361;252;270;211;306;322;538;472;661;607;656;440;553
"ADRA1A";6;22;25;5;20;4;1;14;1;1;1;7;7;16;8;48;12;120;65;58
"ADRA1B";225;25;56;31;14;48;50;13;12;12;52;24;67;43;122;57;21;69;123;61
"ADRA1D";44;19;8;0;15;12;52;10;2;2;164;6;249;41;14;48;23;44;8;128
"ADRA2A";535;542;521;185;1903;3545;200;829;53;347;346;1960;223;3282;406;6389;5597;8978;4153;7744
"ADRA2B";220;105;714;52;136;66;207;42;31;147;121;24;227;69;377;260;179;127;120;117
"ADRA2C";100;168;14;12;355;1176;124;25;9;65;331;56;462;94;142;374;780;185;406;443
"ADRB1";85;126;110;44;47;6;3;35;8;6;2;28;5;33;101;514;62;184;48;93
"ADRB2";115;137;648;125;422;126;92;147;67;105;119;170;132;386;58;1746;753;1051;449;800
"ADRB3";7;19;2;1;4;4;9;4;0;1;3;4;3;2;0;35;2;32;19;10
"ADRBK1";12679;10668;11394;16892;5808;7820;8131;6629;8820;5462;11084;8248;10515;7669;10411;11466;8739;8922;8425;8432
"ADRBK2";1839;2042;3995;2997;4969;1539;2926;5018;676;893;5312;2314;5341;3370;3739;7586;2702;5993;2235;3924
"ADRM1";26261;9231;12522;14227;2751;5131;13213;6397;4661;3367;7283;4874;6694;3833;17843;5559;4459;6123;3726;3643
"ADSL";4154;4580;7546;5449;3695;2018;3471;3764;5148;1413;4753;1621;4643;2889;3335;3735;2401;3556;2132;2471
"ADSS";8469;29290;15375;11992;5922;6386;3234;8912;3292;2613;6280;6168;5512;5282;14846;5286;4943;4917;2434;3838
"ADSSL1";1328;108;1393;94;649;531;549;384;231;380;218;793;339;599;310;1115;506;458;309;692
"ADTRP";236;238;6325;4425;159;53;171;45;151;34;66;96;64;379;93;717;450;641;110;271
"AEBP1";54030;25238;7611;7731;29631;85715;23770;50289;6759;7643;11728;65331;25869;57035;34984;42520;104732;61686;25760;59568
"AEBP2";1868;4526;7168;1313;1967;2467;938;3060;946;1539;2557;1705;1883;2594;4502;3287;2888;1863;1326;2713
"AEN";4548;3444;3346;9115;1291;2571;2821;2573;3297;1129;4032;3013;3610;1990;3217;2915;3005;3690;1343;2291
"AES";20178;13848;9325;21453;17104;22095;21291;20326;6316;6039;14142;20449;18596;16836;15800;24804;18615;21427;10204;17317
"AFAP1";4543;5224;2751;17084;2616;3664;1246;3362;1074;981;3753;4720;5116;5089;4320;5096;3591;3753;1963;6068
"AFAP1-AS1";6878;1095;4909;12284;5;4;1;2;7;334;3;9;0;6;8741;10;4;4;370;19
"AFAP1L1";910;699;1092;478;1184;787;945;888;183;324;882;1224;883;1877;707;1923;1443;3167;1354;3742
"AFAP1L2";709;2309;1932;1654;2152;2510;712;1999;457;232;1202;3218;1623;3692;482;4011;3476;1567;604;4061
"AFF1";3036;2998;8801;8862;8429;7943;2862;15315;1347;2496;7345;11949;9527;10129;4517;9105;6772;8728;5046;9831
"AFF2";176;371;32;345;155;141;12;21;290;62;27;226;18;233;1491;177;308;133;63;234
"AFF3";364;280;1697;472;12682;36745;1697;15127;317;137;16550;21159;12682;9265;1246;3971;10644;2841;142;4089
"AFF4";4437;7635;12227;13054;7739;16632;6757;13371;3887;9801;11289;18056;11820;12305;9797;11005;11068;7058;6380;10166
"AFG3L1P";3088;3160;1633;2695;1447;3192;2512;1654;2415;1460;3922;2526;5256;2125;3886;2696;2350;2234;1820;1675
"AFG3L2";16618;7210;15586;15666;4485;5662;7671;6065;5534;1694;7654;4533;7310;4396;14108;5193;4125;4580;2321;3187
"AFM";0;0;0;0;2;0;0;2;0;0;8;1;8;0;0;0;1;0;0;0
"AFMID";2890;3476;3593;909;2053;2692;3817;2265;1719;2213;2140;5211;3174;2852;3008;2377;1971;2345;1716;2164
"AFP";0;2;0;0;87;32;4;3;2;3;10;12;41;119;2;57;131;25;1;29
"AFTPH";2965;6318;6951;5885;3960;7394;3911;12223;1214;2033;7949;7036;7797;4905;3772;5211;6031;4640;1637;3703
"AGA";913;2716;3004;791;1628;3194;1064;2790;583;496;1704;2569;2360;1871;1310;1931;2020;2066;710;1197
"AGAP1";3901;9169;774;1849;4111;8096;2448;6283;1633;1906;7237;2324;6971;3976;4472;3904;4657;2607;1341;2796
"AGAP11";127;401;156;130;1799;1595;390;1088;335;3115;1056;562;1987;1588;177;3360;1645;1871;2241;3596
"AGAP2";481;528;980;1338;392;265;426;492;448;295;2421;841;4502;774;246;1458;768;1175;576;772
"AGAP2-AS1";658;200;464;496;579;1152;487;529;155;738;3563;869;4356;1148;638;795;1101;757;536;617
"AGAP3";16703;12243;6048;11442;4946;6536;6798;2455;4238;4269;4148;4805;5472;5842;15023;8810;8018;6303;4809;5470
"AGAP4";464;741;401;466;183;284;759;538;40;96;467;689;570;715;441;162;218;498;99;555
"AGAP5";444;640;603;602;609;1238;918;994;245;607;762;963;990;798;569;668;854;635;617;581
"AGAP6";1709;3345;3252;4445;2337;3508;4122;2908;1012;2137;2091;3416;2801;2994;2014;2911;3207;3010;2471;2090
"AGAP7P";50;117;727;351;153;300;185;136;30;111;86;160;129;144;73;142;242;106;117;94
"AGAP9";310;550;1028;698;673;938;793;894;192;655;481;672;590;849;425;675;805;542;593;588
"AGBL1";0;0;0;1;0;0;0;0;3;1;0;0;0;0;1;0;1;0;0;0
"AGBL1-AS1";0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
"AGBL2";38;40;130;320;268;913;211;323;21;62;326;670;323;529;40;159;593;110;55;252
"AGBL3";54;91;72;49;128;33;54;32;164;44;35;70;30;148;122;147;64;75;38;167
"AGBL4";46;52;1;15;65;73;107;78;5;1;25;34;19;55;66;68;59;39;14;35
"AGBL4-IT1";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"AGBL5";2074;2587;3360;3371;1755;2364;1367;2038;1108;1098;2003;1649;2755;2248;4045;2152;1687;1376;938;1685
"AGBL5-AS1";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"AGER";626;852;689;1130;636;975;1380;468;441;1238;808;1032;1484;1355;219;1224;1333;977;1438;1218
"AGFG1";5865;8829;10078;8597;3395;5527;4286;5440;1766;2361;5680;6763;5996;4746;9353;6751;4659;5910;3406;4054
"AGFG2";1055;1292;1144;507;1022;816;1382;714;724;1304;785;1535;953;1780;1223;1927;1156;1442;994;2238
"AGGF1";2103;2133;2532;2639;2633;5312;4031;6411;931;2155;3097;4601;3443;3672;2586;3433;3615;3115;1848;3258
"AGK";2240;3924;4246;4516;1750;2139;1609;1124;1840;1468;1847;2232;2253;1784;2263;1998;1514;1389;1428;1495
"AGL";1096;1376;4562;1733;2584;5501;16444;12024;750;1509;4615;5507;5041;3927;1814;2316;2530;1826;1082;2263
"AGMAT";86;230;1459;329;118;53;97;207;76;76;233;92;151;87;43;111;50;80;97;51
"AGMO";36;47;2270;0;55;19;14;18;2;48;11;15;16;61;8;119;25;64;73;115
"AGO1";1822;4537;4965;7644;2985;4003;2476;3553;2310;1994;3786;3617;4942;4308;2847;4111;3398;2922;1950;3777
"AGO2";1394;1953;2552;2633;438;1006;1339;1899;1361;280;2517;446;1814;400;1104;383;332;445;350;405
"AGO3";246;585;1365;1162;404;737;577;925;432;438;863;511;853;419;402;394;403;410;323;465
"AGO4";2862;4000;2113;5901;3887;5389;2085;3855;1803;2100;2898;4366;3650;5253;8233;4519;4570;3540;2890;4403
"AGPAT1";3604;3875;6217;4277;3524;9056;6238;4380;2246;2459;5065;4616;5839;4412;3355;4967;6142;5397;2762;4976
"AGPAT2";8893;2493;4305;2338;5196;2422;5765;3108;2692;767;6573;3023;7009;2228;5301;13804;3505;14624;5142;4358
"AGPAT3";10548;8189;8365;15026;6578;8111;7386;7096;8432;4888;8948;4514;10799;5509;8987;7457;5184;5359;5341;4678
"AGPAT4";2057;1535;1314;1774;914;964;676;1070;1671;1269;432;1610;710;2579;2599;2035;2540;1737;1302;2397
"AGPAT4-IT1";31;33;80;44;35;26;16;16;38;27;13;41;10;82;42;17;35;42;24;46
"AGPAT5";5911;5387;10161;5379;1568;1925;2661;2670;1874;712;3140;4752;2955;2823;6941;2286;2238;2090;701;1826
"AGPAT6";15248;8915;10793;12862;5028;13281;9249;9622;6103;2885;7524;10551;11086;8679;12662;8312;9367;8982;4214;6568
"AGPAT9";292;183;194;2615;899;333;176;175;87;126;678;1958;190;763;308;3435;1400;807;294;1446
"AGPS";3632;4696;19624;9055;2181;4795;6755;2023;2785;1891;4077;4760;2595;4135;4820;4370;4702;4284;2343;4024
"AGR2";62;49;564;101;21434;51411;10603;43445;319;528;46514;73940;32314;28834;68;3910;23263;6320;116;7319
"AGR3";14;24;39;14;4788;11887;5;30539;40;31;3193;7257;4252;1797;3;1530;4984;8046;7;796
"AGRN";61007;15448;12087;25679;10065;24749;18613;27647;10654;9445;17605;22893;26012;22528;61051;13703;17808;13343;9497;16206
"AGRP";8;1;7;4;0;3;7;3;2;3;0;4;3;1;0;1;0;8;1;6
"AGT";198;200;819;30;122;585;69;516;309;1124;30;162;16;240;608;167;361;679;925;220
"AGTPBP1";1905;2171;2441;2671;1438;1444;2282;2051;1301;638;2182;1143;2037;1649;1897;1974;1531;1460;1075;1822
"AGTR1";54;74;187;53;1434;343;72;15673;18;33;188;32094;95;7543;175;1003;1088;996;296;5442
"AGTR2";0;1;0;0;56;0;0;0;1;0;0;8;0;2;0;22;21;0;0;29
"AGTRAP";2719;1860;5223;2993;2034;2763;4137;3633;2187;755;1612;1643;2216;2028;3506;2263;2831;3587;1383;2050
"AGXT";0;0;5;0;1;0;5;3;0;0;0;0;1;3;0;12;2;10;9;3
"AGXT2";0;0;0;1;10;6;1;6;0;0;1;8;2;22;0;8;3;3;0;9
"AHCTF1";7676;19447;19934;13932;5068;5508;2990;6092;3805;3005;5075;6640;4679;3917;13725;4873;3794;3789;2720;4208
"AHCTF1P1";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"AHCY";13963;22223;12870;23463;15143;13741;20510;9887;11294;5461;15466;6280;13833;7287;8108;8325;7946;8306;4986;4617
"AHCYL1";11552;5688;10706;21018;14094;15060;25020;15370;5362;7159;12916;11111;13960;11358;9905;12813;10244;10720;6577;8957
"AHCYL2";1863;4104;4365;3030;2053;2862;1455;2111;1057;5852;2625;4629;2218;2918;2846;2438;1958;1562;3813;2671
"AHDC1";1379;2729;2092;4337;2626;2997;1544;3621;2463;4275;1836;3864;2290;4728;3653;5539;3098;3527;4289;5527
"AHI1";990;2520;2808;2406;1782;1407;2041;2368;2611;1241;2006;2216;2771;2858;3493;2459;2062;1751;1321;2772
"AHNAK";74533;83826;32263;16964;219232;218846;46667;151244;19222;80040;189510;198350;266778;187246;119840;268359;146580;159372;104339;242520
"AHNAK2";10153;3507;4780;329;2452;3886;3339;5754;499;11157;3664;3597;4488;6336;26973;5504;7028;4505;9462;7671
"AHR";1676;2239;8207;3634;4719;3355;1924;28476;1396;7280;5316;4791;2967;9452;4514;11377;7299;7523;6717;15675
"AHRR";143;301;75;66;174;197;868;775;876;105;347;445;415;177;217;283;182;829;133;203
"AHSA1";10433;8589;17260;10421;4806;5466;6868;12237;5919;2996;4719;3549;6057;4320;6068;6346;4612;7008;3357;3777
"AHSA2";3377;7715;3452;4549;11692;18739;7814;10094;3680;4805;9119;12454;9853;11696;4387;13451;19493;7946;5873;8196
"AHSG";1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0
"AHSP";2;0;4;0;0;2;0;1;0;1;0;2;0;2;9;3;3;4;1;3
